comment_id,sentence_id,order
h2zxo9s,3f70268b-2307-4b48-8904-70f901fc3b74,0
h3uwzh4,e309020b-d89d-4603-8632-9e5861230cb1,0
horeq7s,df7171a9-9140-435a-a7fd-7dc3f7e04a7b,0
i99n9wu,afad0101-5a88-46b8-9f89-571375e3e69f,0
h3v6zj1,b016ed68-628d-4f79-b395-196c4541cbdd,0
h3v6zj1,a59beb69-f528-4234-8b64-31b710b15bc5,1
h3v6zj1,47a611e0-550b-4da0-8445-a38190801254,2
h3v6zj1,b43dbed9-50b9-4d54-a294-1b505ebb6579,3
h4ikdsi,b6ea89e5-fbf2-4f35-a231-c006c412fb89,0
i99ncq3,e21660f6-22b5-4b87-a5fa-1cb6222d5fb3,0
h3a986u,a8a05c28-3385-4cf7-839d-b64cf3b8a9b7,0
h3a986u,1be911bb-432f-4e92-8764-9235ae2e3bbe,1
h3a986u,1f6282e3-3ee5-41f4-a232-6575dddce310,2
h3a986u,33dc671f-d516-49b4-9dc2-8105b51742d0,3
h3a986u,6a276c6a-5ecf-4eb6-8684-9c54fdd449e2,4
h3a986u,8bc3e4da-5230-4f63-8d85-859ddf766dbb,5
h3a986u,ac8aa727-6f77-4b1a-962c-fd0c9c4542c4,6
h3ukcdf,44fbdb3f-7fe6-4524-a488-24d4a29d43ff,0
jmablbd,b2019a71-2fc3-46a0-bf43-92f985d4f92a,0
jmablbd,120bb1ac-ff10-4fa3-acf4-4f94eb51e810,1
jpki47w,afde566e-ee76-4dd7-adaa-df130fb6981b,0
jqa1dfm,fc520655-c5dc-4a08-b7d9-086aed95b8b3,0
jqa1dfm,7bb89a43-3496-4a87-839c-01a064c47990,1
h3cgpj6,476abaf6-991c-4c89-8084-8edde7b647ee,0
h3cgpj6,4e0724ba-e9f3-420e-aa7f-7a738ad304d3,1
h3cgpj6,dccee9a8-8f0a-4b23-9953-c06c0d238252,2
h8hghzz,767a7d92-2665-40c3-834d-17286abf4bf0,0
h8hghzz,1e1e1386-b8e3-489d-bdb4-33264f3fda3f,1
h8hghzz,3afc22c7-f8d8-47e7-829c-6a9b457f2695,2
h8hghzz,88b8c03f-ff1e-4ae8-8826-0cb9e5a9d049,3
h8hghzz,8d6a493b-147a-461a-9852-a236f187334d,4
h3n9bm5,dccc0fab-062e-4218-b661-492173030c52,0
h3n9bm5,dbcba310-9312-494d-93ef-7e9f13b1e008,1
h3n9bm5,57f19d97-ee3e-42e8-9033-ddf4e35c8f47,2
h3q61xa,f08a9e6b-ff33-47af-aeb0-9ce40c832406,0
h3q61xa,b159ca90-59a3-4f59-a57a-af91045ff5fc,1
h3q7p67,4be2dbc7-aef9-4069-90be-ca7fbb62803c,0
h3q7p67,117b1c3a-78c7-4c61-be31-26bdf353357d,1
i99ng1o,885f743f-e845-445e-a9ba-b6f84e2d1889,0
h36gmnk,e83344f6-699d-4b08-8aee-3911ee8f7479,0
h36gmnk,e6c7fdc9-9c31-4708-96eb-47df53a13f08,1
h36gmnk,eeda486d-7821-4825-8116-e3a51dea70df,2
h36gmnk,1c2ef2be-d9d4-4d1e-ba34-f9737f9b6016,3
h36gmnk,dbd364ec-bed3-47d9-9229-db0e3535dd30,4
h39krwr,79efec08-2f90-4608-8759-a86236353626,0
h39krwr,dee97120-439c-418e-ac6c-a43b6ecf4bcb,1
h39krwr,919cb216-05e0-4bc5-a03f-6bcdf85c36d8,2
h39krwr,a1ba2b6c-762c-4cd6-b291-c269d9a12982,3
h3eovei,350990e4-ab3e-40c8-85df-9ca3bbecc00b,0
h3erjtv,7dd49452-c906-4607-8b26-65b2bc3f16ba,0
h3erjtv,3ed1cc95-6fa2-41bc-93c6-d3efcca1600a,1
h4r219p,a2c6a7e1-17dd-4ca4-947f-c42ccd8d5de9,0
h93rzt4,74e06e40-0f85-4d66-9a3e-a042c85fd9fc,0
h93rzt4,f6cbcb52-9470-4d8d-9f4e-dad0c810a943,1
h93rzt4,61b61f1e-0e4d-4aa5-8066-feb72b2b91da,2
h4mhb1r,3391eb4c-96df-41dd-aa4a-450ee9acde47,0
h63fsfv,8f63cce7-8340-46a1-856c-2d8456ac1214,0
h63fsfv,0cafbe7f-14e5-4248-9bba-5cae35f4873e,1
h9odd46,dee8fe6c-c047-426b-a803-7decf359ff4b,0
h9odd46,31b36d0c-bad6-4901-97aa-26810757d108,1
h9odd46,e6684e5f-c623-4496-a9d5-cedb83c0d49b,2
h9ofntj,40503076-6ca9-469b-8056-c1d78d4324fc,0
h2yrl4m,40b29925-9452-42c6-9ffd-3d52f93ff4e0,0
h2yrl4m,0797e31a-2604-4798-bfaa-9a2bb7ae6c99,1
h2yrl4m,a26308f8-5b21-41b1-906f-26ddd1abf1a6,2
h38knnm,5c3faa2f-ab40-4e08-856e-45c5f496fff9,0
h38knnm,f7e92542-1aaa-4472-90f7-c6e696769418,1
h38knnm,93d4ab2d-a7fd-4f36-92e8-48fa6f41daa1,2
h38knnm,4cfad4e8-f918-4746-a242-a8f5c53e77f7,3
h38knnm,a0ecedab-401e-40c1-b225-9d39678553a5,4
h49hvbu,666f2cb3-1372-4aab-a163-c9d59be3316f,0
h49hvbu,e341b52e-d21d-4f76-8fca-224458c22d05,1
h49hvbu,5d6ff4a3-9a60-4716-ae8e-a99289d61136,2
h49hvbu,6d8f5456-dc26-4b40-9bee-02afff491338,3
h4bu1k6,fb6d7261-6c9a-474d-bfc3-02fa15ea97a4,0
h4bu1k6,319d7746-b31b-4759-a251-86737b460991,1
h4bu1k6,70fd432e-dc0d-4433-91d5-2becebace2c9,2
h4bu1k6,52fc2c36-2c8e-458b-be04-e7147202b2fe,3
h4bu1k6,fa346d69-d227-44db-8c6c-30155e6f3ee4,4
h4bu1k6,00eea4ac-763e-46c7-ba40-9e88d99a83d0,5
h4r2obv,84840116-751f-4204-aa0d-06a1a0df7362,0
h4r2obv,f2995489-6bfb-4c5c-8e25-1492603256da,1
h4r2obv,54eccda0-c055-4bf0-8705-506d2afc6ecb,2
i855ar5,f8f47483-7b92-4f92-bc75-3bd60f248428,0
i855ar5,a0afee43-ee11-4b38-a43e-dbe021a0b930,1
i855ar5,86297eb1-4ba1-4ab5-9d70-4fbeaf96ddb9,2
i855ar5,d0eb7a20-efb8-40d1-aabd-7244b2c0aca4,3
i855ar5,edee5fdf-21a0-43fc-a4aa-fe2609654a02,4
i855ar5,3d85be96-387d-4f59-b935-c3481788ea20,5
i8ydhoq,f32ee795-7c4f-4559-80fd-1db7b0bd2322,0
i9o2evs,6df77302-4d69-4f6f-b4fd-ac3683016d0c,0
i99nkfj,3ab4c6bf-5999-4fc5-ae76-7140680a727b,0
h4u9hsf,2e600ff4-09fc-4768-b76c-b36675966381,0
h4u9hsf,684e58c9-acf6-4a01-a386-8dc038a53f16,2
h4u9hsf,d717da19-0700-44f9-ae42-2a53c4e5808e,3
hamdw8c,5d0e9b0d-78ac-4c7d-bfe2-d08d261b1deb,0
hamdw8c,4108ee53-b145-473f-917d-03751a8609c6,1
hbpzrzy,880ad4be-932c-4a25-9955-15553644cb0d,0
hbpzrzy,fba450b9-6922-4f21-a0d1-1b49222c38f8,1
hbpzrzy,2b03bd95-b047-44f4-ba19-91c563c0e658,2
ieyv56r,46a4ea13-f088-40aa-9f19-2e6c624d8b70,0
ifg2peo,baaf21f3-a46b-4848-840a-056d42965cf0,0
jmsxi6g,c913d8b0-8ccd-432c-837a-06ee66e88ebd,0
jmsxi6g,3e16ad36-ec98-45b9-a09e-ff795d919382,1
jnbx7s2,35e96b7b-e2e1-4555-9ed5-f654ff391b95,0
jnbx7s2,e35ddc55-3679-4450-a72e-7a429eb320a9,1
jnbx7s2,d433422b-0395-4aa7-a25d-89ee042359a7,2
jnbx7s2,23ad1e23-bb50-4c6c-a442-2d7cdf5375c0,3
jp0bw4q,ebcc4f1a-b8de-475c-8574-cd2ccf6d0706,0
jxqvnk2,e7b57cdf-88f9-43a8-ace0-d4cac2442b79,0
jngxys5,bd143264-4221-4ad8-9ba5-ab82b6d1d97e,0
jni2ljx,84c88d98-475e-4389-91c6-81c21dde906e,0
jp0bs0v,242b2647-e970-49ee-beec-8f125d2773e9,0
jp4dmfn,333cd3ad-1a54-4298-8ae0-0a312fbeb73c,0
jp4dmfn,f4cbe392-b191-43dd-99d2-bcbba2761693,1
jp4dmfn,58661b31-195e-464f-ab61-5328e87b6ccd,2
jp4dmfn,42f3f643-fd2b-45ae-988f-c65304b1da8f,3
h2ylt1w,4534f83d-0834-4bf0-9fb2-176fb2be17e2,1
